GRANT,4177.143176,5031.792978,5540.589955,5340.836463,5455.425775,5396.959753,6373.35225,4715.889028,4487.38585,4501.551133,4942.13555,5461.463253,4911.9235,5787.445983,5637.491028,5006.549075,4450.121603,5120.18045,5219.198875,4646.2009,4984.943425,4851.305353,4784.6205,4423.540378,4438.76613,4424.153763,4590.02101,4421.12041,4104.148088,4005.517758,4212.59451,4083.49851,3737.240133,3769.036388,3932.88651,3933.320013
GRAYS HARBOR,3795.907222,3978.192229,3730.262123,4466.628155,4755.437096,4263.215396,4680.090546,4880.455481,5119.084808,5417.596631,5901.287268,6236.309951,5171.641298,4810.410205,4869.115625,4704.069975,4509.604378,4739.601453,5034.5647,4632.081025,4623.056453,5002.515408,5030.38181,5021.461053,4945.751628,4606.426378,4891.513378,5109.52743,4945.67789,5253.251128,5521.723383,5527.146625,5440.440328,5758.817555,5848.736505,5839.562128
ISLAND,2326.977775,2361.253419,2345.659453,2443.448558,2439.640308,2499.766105,2110.246422,2324.412055,2311.250915,2016.961692,2141.678928,2194.856125,1919.660703,1949.7082,1825.049875,2187.056575,2043.616575,2082.3902,2006.142875,2336.279,2243.446425,2144.15905,2027.120975,2021.772053,2112.28964,2010.118135,2200.117146,2233.526518,2059.172015,2162.089633,2353.05888,2373.917253,2238.321628,2379.729755,2463.552505,2563.99
JEFFERSON,368.147699,334.768615,401.71323,403.151065,485.343852,391.477842,597.645305,532.1624,553.543925,566.588,676.185125,766.95575,634.81165,634.3634,788.29245,691.5601,744.319125,804.1605,867.90165,799.005625,796.495425,848.133825,949.438325,1012.866283,915.0876276,1010.759508,1008.95176,1038.53626,1077.802378,1000.269875,1082.284878,1083.181378,1121.924925,1177.776875,1177.762128,1207.809625
KING,67399.99663,70394.57412,74741.82351,77241.6474,76122.50168,75806.57597,74521.51642,76903.43859,76954.03091,80537.19547,84928.68488,83104.05119,80889.59179,86225.15928,83999.35974,85448.30097,82870.04734,89198.10595,88407.98464,88144.35232,84604.40351,87275.7228,85866.75158,84903.20987,82957.09758,80511.09881,79647.93068,81953.56673,77526.45393,77095.63593,77128.51547,79579.56816,78604.2841,79757.56649,79672.68269,79653.67631
KITSAP,7933.673929,8575.456025,8404.798894,9079.910294,8594.627971,9104.222277,9051.466618,10018.61944,9877.590358,10446.29417,10525.55392,10665.87046,10494.47499,10489.76895,10413.50746,12059.51037,10545.05292,11618.22416,12352.39692,12879.80787,11310.00629,11812.271,11778.0542,12033.34848,11580.51217,11942.4298,11608.82566,11633.40567,10827.28703,10728.17954,10395.11446,10256.96265,9956.127906,10088.70376,10246.83278,10537.77652
KITTITAS,1026.23999,1094.094419,1135.4172,1311.340428,1106.505075,1066.521225,1087.812825,1277.69155,1334.305025,1084.361575,1344.83965,1291.58755,1154.288575,1221.167475,1251.3347,1048.038578,1098.884875,1228.9222,1489.579575,1304.362675,1376.561003,1405.756825,1525.349925,1423.19375,1410.7324,1331.21285,1566.27515,1599.221525,1497.42395,1651.62195,1560.8065,1534.808,1570.21975,1564.168375,1595.68035,1645.511003
KLICKITAT,143.4339,137.672863,197.85505,263.2993,286.61055,233.762375,257.2955,279.8873,252.7534276,330.2706,256.623125,238.37935,293.827875,292.841725,330.8085,287.68685,256.399,269.39825,292.16935,275.2255,295.39675,284.3698,263.571,320.722875,343.135375,334.84275,320.274625,368.01325,404.7255077,391.32225,419.337875,411.94175,374.737,350.97975,318.033375,345.60075
LEWIS,3313.604336,2946.018963,3242.503932,3784.611513,3971.03762,4005.926358,4388.487692,4645.446635,4855.931428,4645.455221,5140.58107,5911.867766,5501.019477,5896.447966,5886.211953,5547.618651,5344.816186,5143.44579,5453.85775,4985.212375,4952.490125,4909.084778,4823.214825,4772.72771,4851.772429,4781.724536,4671.455036,4638.718039,4531.465396,4579.876396,4381.555265,4673.413171,4440.140375,4545.89788,4792.122771,4965.790151
LINCOLN,328.339475,311.309625,336.859875,304.3322551,354.789875,411.04525,465.955875,446.681125,432.785375,432.7706276,450.267125,436.5955,458.066675,527.007525,541.486,503.608875,483.885875,512.842825,470.8418,491.1027,395.132375,431.440625,450.9395,423.820375,460.801,465.73175,530.27975,541.710125,527.142,541.710125,552.468125,572.8635,478.731,458.783875,505.850125,574.6565
MASON,1425.110485,1509.62997,1405.567895,1434.131669,1456.621673,1699.795936,1795.583424,1835.157947,1979.57955,1966.888046,2164.95785,2158.278925,2318.99188,2418.174275,2476.745803,2484.335975,2503.47625,2797.124825,3126.260053,2835.315725,2878.39255,3030.752725,3328.824228,3252.935503,3144.922,2860.433638,2777.327505,3232.301255,2889.823508,2809.392128,2780.24113,2800.577515,2512.712531,2662.575505,2819.672383,2774.399133
OKANOGAN,1606.630807,1669.895186,1732.495756,1835.217068,1888.031827,2090.3237,2102.38215,2356.898,2263.258975,2145.548575,2401.529453,2410.987528,2341.329478,2558.775553,2790.386328,2814.981088,3006.323683,3068.839228,3031.021675,3118.012253,2987.795628,2631.182675,2590.138305,2169.754125,2059.70875,2171.054633,1877.480378,2001.869753,1422.477133,1419.130005,1478.986128,1628.925753,1496.229005,1580.72413,1421.386003,1583.428378
PACIFIC,1082.333915,1288.967102,845.618233,1112.977213,1270.161783,1141.499285,1198.7998,1271.32665,1436.163505,1340.985865,1456.94814,1649.560583,1986.360303,2291.90225,2011.073625,2354.881375,2127.170375,2258.4628,2537.095,2511.54475,2127.3945,2502.086675,2577.333103,2374.73885,2111.2575,2064.863625,2216.820375,2262.541875,2200.668628,2017.797375,2101.171875,2150.25525,2244.38775,2147.1175,2197.097375,1982.60975
PEND OREILLE,739.185467,793.46585,871.354462,1010.80075,996.681075,978.303125,934.374375,1063.470375,1150.610175,855.4403,915.102375,1010.3555,1035.6368,1079.83425,1011.476125,939.08375,854.3645,978.753875,940.4285,913.5335,881.035375,766.731625,705.09725,655.117375,721.6825,661.16875,777.041375,681.34,754.853,751.491125,719.665375,670.357875,624.188125,647.273,586.535125,625.30875
PIERCE,26727.60048,28106.05912,28612.2183,31610.88092,33906.94062,32998.31817,34866.30038,35691.72395,34051.76615,32914.98449,35558.33167,36453.6788,35553.59338,36472.40265,36205.4851,36572.49687,34853.26407,37178.06787,37301.09833,36107.63096,36060.17487,35094.4804,35095.28783,34675.29349,32799.95347,33262.32217,32941.73319,32066.16822,30769.48361,31256.01358,32097.57404,33533.12358,32605.4997,33803.58172,35252.93794,36811.47311
SAN JUAN,331.478625,320.058609,317.396646,277.0035026,327.352118,308.785874,422.977344,401.00445,352.5336276,392.57735,484.961675,449.818875,509.212,534.717425,598.59305,620.602125,505.5664276,580.932,659.1068,672.419825,707.3385,614.7153026,648.124675,734.905875,621.0061327,614.3118776,602.89625,646.82475,681.5346302,675.51275,647.497125,558.9530026,450.0282526,485.8882526,495.3015026,543.054875
SKAGIT,3386.309908,3746.152334,3732.110294,4193.150898,4330.867708,4336.631462,4593.671639,4547.120297,4609.153498,4903.886169,4825.456075,4796.349903,5020.35634,5116.327248,4970.496193,5200.28389,4734.865333,4929.539725,5109.3328,5270.508753,5210.233875,5101.697803,5127.89035,5213.59575,5161.822875,5098.619625,5064.77675,5359.038128,4967.267628,5691.206125,5774.760508,6114.728638,5933.261125,6000.498625,6208.486625,6503.211
SKAMANIA,254.108125,296.607025,268.008675,210.6775,293.78305,310.7269,280.021775,287.283425,268.4121,334.5738,304.00315,312.744025,349.635,389.663725,309.695925,335.91855,334.170375,314.8508,343.852575,331.929125,275.449625,270.070625,277.0185,286.43175,342.463,308.620125,298.98275,328.791375,344.480125,320.947,309.2925,347.842,290.91425,312.43025,336.859875,341.5665
SNOHOMISH,31033.24379,33061.6634,34135.25469,36526.46811,35638.6566,37633.89167,37438.29485,39820.61107,40420.45332,39570.73746,42280.21269,43506.4443,43350.46863,45815.50094,45379.48758,48312.07414,45989.33287,47674.4845,48283.77365,45391.83037,43149.87675,43716.67471,43630.46324,44589.76131,44361.30478,43576.77705,44645.58493,44622.0064,43752.94047,43630.02915,43406.80715,43876.67047,42973.6266,42718.8118,43363.79756,44371.1657
SPOKANE,19245.31473,19357.05693,18886.66259,20069.52061,20095.85979,19809.72934,19557.18029,20677.35312,19800.37137,19430.12312,20689.80324,21387.68543,19797.51623,21340.16919,20453.57726,21155.23715,18796.75444,19750.89881,20655.46789,20696.36421,20195.74328,19870.65646,19921.59125,19848.49584,19472.59513,19575.35053,20037.53936,21045.47431,19465.37831,19723.77969,19747.34289,19543.77723,18272.50957,18299.85166,19016.34979,19777.1651
STEVENS,1992.23535,2071.432252,2111.929725,2510.603275,2035.637625,2301.719458,2103.143525,2057.393663,2404.966713,2267.953283,2523.409793,2646.109983,2591.87115,2743.305913,2516.95441,2441.73806,2516.281453,2547.466653,2508.09439,2400.260188,2321.308615,2109.40551,2304.633133,2130.66789,2138.60075,2094.657503,2060.814628,1946.735003,1754.435753,1790.3105,1899.459375,2101.84425,1901.4765,2223.544125,2013.763125,2109.435005
THURSTON,6595.686944,7298.52193,7519.844474,7944.211404,7934.719514,8453.486402,7875.052192,8164.637246,7836.826615,7620.213281,8469.042035,8802.614938,8125.861835,8561.785543,8547.739988,8928.557858,8725.82913,8909.25303,9129.747205,9441.86368,8603.307075,9266.95653,9456.342155,9852.072585,9251.56739,9130.59888,9299.798508,9932.503383,9601.26138,9966.824003,10291.05914,10102.00146,9681.468635,9544.06468,10110.24926,10311.70814
WAHKIAKUM,139.854,89.425875,137.1645,126.85475,154.198,145.905375,101.75275,156.43925,162.042375,123.044625,91.667125,75.75425,105.9816302,95.22363015,88.94813015,74.85775,84.943375,87.40875,110.71775,87.632875,97.494375,113.40725,124.389375,119.010375,129.096,140.30225,144.112375,174.593375,121.0275,150.16375,125.734125,138.061,129.9925,91.667125,114.527875,107.804125
WALLA WALLA,1496.025725,1425.101609,1584.119704,1588.881768,1732.085612,1810.841732,1825.195973,1856.351188,1599.611226,1552.900589,1777.744753,1968.848475,1577.346925,1751.805825,1687.94553,1752.777228,1809.988675,1923.126975,1874.536675,1778.38705,1836.331028,1967.54855,1948.766875,1988.16805,1938.666503,2051.625503,1980.353753,2114.156378,2081.210003,2174.416508,2452.57038,2548.7495,2444.69651,2614.403378,2375.500875,2635.695253
WHATCOM,4832.806449,5241.318145,4979.324567,5458.101989,5542.575833,5477.204667,5859.281722,6177.646108,5962.220738,6034.186104,5876.96209,5837.051928,5784.055196,5999.111381,5897.895365,6284.600058,5988.605253,5831.688258,5788.790733,5805.810651,5549.814493,5508.814365,5363.23693,5374.699131,5094.004398,5210.773523,5210.190215,5344.980156,5354.676521,5558.347156,5682.751278,5529.150751,5653.196273,5758.564518,6057.293648,6423.723276
WHITMAN,665.870125,603.88108,628.1503807,632.8391,679.9204302,665.068275,775.24785,664.9333,661.168,637.814925,753.732375,580.887175,641.669875,674.3325526,669.41655,758.7828526,626.20525,636.6648052,645.56965,675.288625,689.85675,769.197,732.216375,808.643,867.812,857.0392526,849.882,908.826875,946.031625,891.793375,930.791125,865.525925,848.761375,807.7465,901.206625,902.551375
YAKIMA,4378.751439,4856.90342,5462.517778,4627.819647,5317.08869,5385.194703,5228.880254,5192.339831,5346.139724,5073.799767,5827.160933,5832.181915,6366.958913,6710.467053,6623.671105,7084.33763,6722.555055,7162.423363,7684.066635,8259.03691,8411.037903,8582.688158,8876.934788,8637.838238,8932.009383,9227.600763,9115.134255,9514.92843,9067.739483,9446.555558,10012.73955,10360.26778,10266.44905,10517.69318,11274.384,11267.0327
